Name,AC,Alignment,CR,Current HP,Damage,Environment,Hit Points,Initiative,Initiative Roll,Legendary,Page Number,Size,Source,Speed (ft),Type
"Kobold, Drake Rider",15,,3,71,,,71,3,13,,252,,Tome of Beasts 3,,Humanoid
One-Headed Clockwork Dragon,16,,8,178,,,178,0,10,,111,,Creature Codex,,Construct
Weaving Spider,15,,1,25,,,25,3,13,,66,,Tome of Beasts,,Construct
Mead Archon,14,,4,82,,,82,3,13,,18,,Tome of Beasts 2,,Celestial
Lotus Golem,14,,9,82,,,82,4,14,,201,,Creature Codex,,Construct
Elvish Veteran Archer,15,,3,77,,,77,3,13,,422,,Tome of Beasts,,Humanoid
Faerie Dragon Familiar,15,,1,14,,,14,5,15,,205,,A5e Monstrous Menagerie,,Dragon
Alp,13,,1,44,,,44,3,13,,14,,Creature Codex,,Fey
Yathon,15,,7,152,,,152,2,12,,378,,Tome of Beasts 2,,Humanoid
Arcane Leviathan,17,,16,279,,,279,-3,7,,40,,Tome of Beasts 3,,Construct
Adult Sapphire Dragon,19,,19,304,,,304,6,16,Legendary,150,,A5e Monstrous Menagerie,,Dragon
"Hag, Pesta",17,,4,105,,,105,2,12,,227,,Tome of Beasts 3,,Fey
Spy,12,,1,27,,,27,2,12,,349,,5e SRD,,Humanoid
Giant Moth,11,,0.125,7,,,7,1,11,,178,,Creature Codex,,Beast
Rust Drake,17,,8,161,,,161,2,12,,155,,Tome of Beasts,,Dragon
Bearfolk Thunderstomper,15,,6,105,,,105,2,12,,53,,Tome of Beasts 3,,Humanoid
Wilderness Crone,17,,6,105,,,105,0,10,,392,,Tome of Beasts 3,,Fey
Light Drake,13,,0.5,24,,,24,3,13,,231,,Tome of Beasts 2,,Dragon
Baleful Miasma,13,,2,52,,,52,3,13,,50,,Tome of Beasts 3,,Elemental
Beach Weird,14,,3,65,,,65,1,11,,52,,Tome of Beasts 3,,Elemental
Jaanavar Jal,15,,7,172,,,172,2,12,,229,,Creature Codex,,Monstrosity
Archmage,12,,12,99,,,99,2,12,,342,,5e SRD,,Humanoid
Sewer Weird,15,,8,136,,,136,4,14,,341,,Tome of Beasts 3,,Elemental
Goblin Shieldbearer,13,,1,10,,,10,1,11,,250,,A5e Monstrous Menagerie,,Humanoid
Deer,13,,0,4,,,4,3,13,,321,,5e SRD,,Beast
Young Mithral Dragon,16,,6,92,,,92,6,16,,134,,Tome of Beasts,,Dragon
Wickerman,8,,9,138,,,138,-1,9,,380,,Creature Codex,,Construct
Elementalist,15,,2,45,,,45,3,13,,121,,Creature Codex,,Humanoid
Trollkin Reaver,14,,4,82,,,82,1,11,,390,,Tome of Beasts,,Humanoid
Ancient Bronze Dragon,22,,22,444,,,444,0,10,Legendary,107,,5e SRD,,Dragon
Wood Elf Scout,15,,0.5,19,,,19,3,13,,491,,A5e Monstrous Menagerie,,Humanoid
Derro Fetal Savant,15,,4,2,,,2,-5,5,,92,,Tome of Beasts,,Humanoid
Earth Dragon Wyrmling,17,,3,58,,,58,1,11,,128,,A5e Monstrous Menagerie,,Dragon
Black Shuck,17,,11,157,,,157,3,13,,59,,Tome of Beasts 3,,Fiend
Star Drake,19,,15,189,,,189,3,13,Legendary,156,,Tome of Beasts,,Dragon
Shadow Elf Mage,12,,6,67,,,67,2,12,,483,,A5e Monstrous Menagerie,,Humanoid
Clockwork Tiger,16,,6,112,,,112,3,13,,68,,Tome of Beasts 2,,Construct
Balor General,19,,24,379,,,379,4,14,,66,,A5e Monstrous Menagerie,,Fiend
Gold Dragon Wyrmling,17,,3,60,,,60,2,12,,115,,5e SRD,,Dragon
Ushabti,18,,9,105,,,105,3,13,,394,,Tome of Beasts,,Construct
Necrotech Thunderer,14,,8,126,,,126,-3,7,,287,,Tome of Beasts 3,,Undead
Ratatosk,14,,4,42,,,42,4,14,,319,,Tome of Beasts,,Celestial
Lich Hound,14,,4,119,,,119,4,14,,274,,Tome of Beasts,,Undead
Giant Pufferfish,13,,2,52,,,52,1,11,,200,,Tome of Beasts 3,,Beast
Sand Ray,13,,8,97,,,97,3,13,,50,,A5e Monstrous Menagerie,,Aberration
Psychic Vampire,17,,13,144,,,144,4,14,Legendary,0,,Tome of Beasts 2,,Undead
Midnight Sun,16,,7,136,,,136,3,13,,270,,Tome of Beasts 3,,Aberration
Scitalis,13,,2,58,,,58,1,11,,321,,Creature Codex,,Monstrosity
Deathweaver,16,,5,95,,,95,2,12,,83,,Tome of Beasts 2,,Monstrosity
Automata Devil,17,,10,168,,,168,3,13,,102,,Tome of Beasts,,Fiend
Imp,13,,1,10,,,10,3,13,,76,,5e SRD,,Fiend
Qwyllion,16,,8,110,,,110,5,15,,316,,Tome of Beasts,,Aberration
Kobold Sorcerer,12,,1,27,,,27,2,12,,298,,A5e Monstrous Menagerie,,Humanoid
Npc: Infiltrator,13,,2,55,,,55,2,12,,410,,Tome of Beasts 3,,Humanoid
Black Crier,16,,11,150,,,150,4,14,,42,,Tome of Beasts 2,,Undead
Hound of Tindalos,17,,8,93,,,93,6,16,,221,,Creature Codex,,Aberration
Eonic Savant,13,,7,115,,,115,3,13,,137,,Tome of Beasts 2,,Humanoid
Adult Earth Dragon,19,,18,287,,,287,2,12,Legendary,127,,A5e Monstrous Menagerie,,Dragon
Cave Dragon Wyrmling,16,,2,75,,,75,1,11,,127,,Tome of Beasts,,Dragon
Ouroboros,15,,6,94,,,94,0,10,Legendary,293,,Creature Codex,,Dragon
Young Red Dragon Zombie,16,,11,178,,,178,-2,8,,436,,A5e Monstrous Menagerie,,Undead
Wraith,13,,5,67,,,67,3,13,,302,,5e SRD,,Undead
"Rakshasa, Pustakam",15,,5,91,,,91,2,12,,329,,Tome of Beasts 3,,Fiend
Skeletal Champion,15,,3,58,,,58,3,13,,393,,A5e Monstrous Menagerie,,Undead
Jackalwere,12,,0.5,18,,,18,2,12,,291,,A5e Monstrous Menagerie,,Fiend
Crimson Shambler,12,,0.5,32,,,32,0,10,,73,,Tome of Beasts 2,,Plant
Dread Walker Excavator,16,,5,75,,,75,4,14,,129,,Tome of Beasts 2,,Construct
Mammoth,13,,6,126,,,126,-1,9,,332,,5e SRD,,Beast
Kobold Broodguard Dragon Servitor,16,,2,44,,,44,2,12,,298,,A5e Monstrous Menagerie,,Humanoid
Giant Scorpion,15,,3,52,,,52,1,11,,327,,5e SRD,,Beast
Npc: First Servant,17,,12,162,,,162,2,12,,407,,Tome of Beasts 3,,Humanoid
Wirbeln Fungi,13,,1,16,,,16,3,13,,166,,Creature Codex,,Plant
Storm Giant Monarch,16,,14,460,,,460,2,12,,243,,A5e Monstrous Menagerie,,Giant
Ogrekin,11,,1,32,,,32,1,11,,347,,A5e Monstrous Menagerie,,Humanoid
"Crab, Duffel",15,,3,60,,,60,1,11,,97,,Tome of Beasts 3,,Monstrosity
Red Hag,15,,7,119,,,119,3,13,,244,,Tome of Beasts,,Fey
Wind Demon,15,,2,28,,,28,4,14,,381,,Creature Codex,,Fiend
Roachling Skirmisher,13,,0.25,7,,,7,2,12,,329,,Tome of Beasts,,Humanoid
Dread Knight,18,,19,262,,,262,3,13,,184,,A5e Monstrous Menagerie,,Undead
Avatar of Shoth,18,,21,341,,,341,-1,9,Legendary,332,,Creature Codex,,Aberration
Abominable Beauty,18,,11,187,,,187,4,14,,11,,Tome of Beasts,,Fey
Mytholabe,18,,9,152,,,152,1,11,,271,,Creature Codex,,Construct
Flame Eater Swarm,12,,2,33,,,33,2,12,,204,,Creature Codex,,Beast
Chelicerae,16,,7,153,,,153,3,13,,54,,Tome of Beasts,,Aberration
Deep One Hybrid Priest,14,,4,120,,,120,2,12,,73,,Tome of Beasts,,Humanoid
Myrmex Speaker,16,,9,119,,,119,1,11,,283,,Tome of Beasts 3,,Elemental
Plague Spirit,14,,9,150,,,150,4,14,,296,,Tome of Beasts 2,,Fey
Adult Boreal Dragon,19,,17,212,,,212,0,10,Legendary,143,,Tome of Beasts 2,,Dragon
Silver Dragon Wyrmling Skeleton,17,,2,45,,,45,0,10,,113,,Tome of Beasts 2,,Undead
Firegeist,14,,2,87,,,87,4,14,,202,,Tome of Beasts,,Elemental
Owl,11,,0,1,,,1,1,11,,333,,5e SRD,,Beast
Hobgoblin Captain,18,,3,52,,,52,2,12,,281,,A5e Monstrous Menagerie,,Humanoid
Leech Swarm,13,,2,32,,,32,3,13,,396,,Tome of Beasts 2,,Beast
Equitox,15,,13,178,,,178,1,11,Legendary,171,,Tome of Beasts 3,,Fiend
Swamp Naga,15,,6,102,,,102,3,13,,342,,Tome of Beasts 2,,Monstrosity
Boneshard Wraith,16,,12,127,,,127,1,11,,46,,Tome of Beasts 2,,Undead
Shadow Dragon Wyrmling,16,,3,52,,,52,2,12,,137,,A5e Monstrous Menagerie,,Dragon
Merrow,13,,2,45,,,45,0,10,,219,,5e SRD,,Monstrosity
Salamander Monarch,17,,13,161,,,161,4,14,,311,,Tome of Beasts 2,,Elemental
Flying Sword,17,,0.25,17,,,17,2,12,,20,,5e SRD,,Construct
Faceless Wanderer,13,,4,58,,,58,3,13,,139,,Tome of Beasts 2,,Aberration
Krake Spawn,16,,9,150,,,150,1,11,,269,,Tome of Beasts,,Monstrosity
"Scarab, Ruin",15,,6,136,,,136,2,12,,337,,Tome of Beasts 3,,Undead
Deep Troll,15,,4,63,,,63,1,11,,352,,Tome of Beasts 2,,Giant
Psoglav Demon,17,,7,115,,,115,6,16,,79,,Tome of Beasts,,Fiend
Sunset Raptor,13,,1,32,,,32,2,12,,351,,Creature Codex,,Monstrosity
Dancing Foliage,13,,4,66,,,66,3,13,,79,,Tome of Beasts 2,,Plant
Gray Orc,13,,0.25,15,,,15,3,13,,162,,Tome of Beasts 2,,Humanoid
Nightgaunt,17,,10,142,,,142,3,13,,277,,Creature Codex,,Aberration
Green Dragon Wyrmling,17,,2,38,,,38,1,11,,95,,5e SRD,,Dragon
Garmvvolf,14,,9,189,,,189,2,12,,194,,Tome of Beasts 3,,Monstrosity
Monarch Skeleton,16,,9,142,,,142,2,12,,249,,Creature Codex,,Undead
Darkmantle,11,,0.5,22,,,22,1,11,,46,,5e SRD,,Monstrosity
"Kobold, Planes Hunter",16,,10,181,,,181,3,13,,256,,Tome of Beasts 3,,Humanoid
Chatterlome,16,,7,93,,,93,4,14,,60,,Tome of Beasts 2,,Fiend
Fennec Fox,11,,0.125,7,,,7,1,11,,0,,Tome of Beasts 2,,Beast
Acolyte,10,,0.25,9,,,9,0,10,,342,,5e SRD,,Humanoid
Crystalline Monolith,15,,7,123,,,123,0,10,Legendary,77,,Tome of Beasts 2,,Aberration
Couatl,19,,4,97,,,97,5,15,,43,,5e SRD,,Celestial
Minotaur,14,,3,76,,,76,0,10,,223,,5e SRD,,Monstrosity
Adult Void Dragon,19,,14,229,,,229,0,10,Legendary,139,,Tome of Beasts,,Dragon
"Gremlin, Bilge Bosun",15,,2,60,,,60,4,14,,219,,Tome of Beasts 3,,Fey
Blestsessebe,16,,8,144,,,144,4,14,,61,,Tome of Beasts 3,,Celestial
Giant Water Scorpion,14,,4,93,,,93,1,11,,393,,Tome of Beasts 2,,Beast
"Drake, Bakery",14,,3,82,,,82,3,13,,151,,Tome of Beasts 3,,Dragon
Wereowl,13,,5,117,,,117,3,13,,194,,Tome of Beasts 2,,Humanoid
Qumdaq,13,,0.25,18,,,18,2,12,,326,,Tome of Beasts 3,,Elemental
Nalfeshnee,18,,13,184,,,184,0,10,,62,,5e SRD,,Fiend
Flesh Reaver,12,,0.5,19,,,19,2,12,,160,,Creature Codex,,Undead
Millitaur,14,,3,85,,,85,2,12,,288,,Tome of Beasts,,Monstrosity
Guardian Naga,18,,10,127,,,127,4,14,,234,,5e SRD,,Monstrosity
Void Dragon Wyrmling,17,,2,45,,,45,0,10,,140,,Tome of Beasts,,Dragon
Massive Malleable,14,,16,248,,,248,-1,9,,254,,Tome of Beasts 2,,Aberration
Khargi,16,,9,147,,,147,1,11,,251,,Tome of Beasts 3,,Fiend
Egret Harpy,12,,2,75,,,75,2,12,,122,,Tome of Beasts 2,,Monstrosity
"Dinosaur, Therizinosaurus",13,,5,95,,,95,-1,9,,128,,Tome of Beasts 3,,Beast
Gelatinous Cube,6,,2,84,,,84,-4,6,,242,,5e SRD,,Ooze
Conniption Bug,13,,1,55,,,55,2,12,,93,,Tome of Beasts 3,,Beast
Goblin Warlock,15,,1,21,,,21,2,12,,251,,A5e Monstrous Menagerie,,Humanoid
Venomous Mummy,11,,3,58,,,58,-1,9,,299,,Tome of Beasts,,Undead
Pine Doom,16,,9,172,,,172,-2,8,,295,,Tome of Beasts 2,,Plant
Hobgoblin Warlord,18,,3,104,,,104,2,12,,282,,A5e Monstrous Menagerie,,Humanoid
Cueyatl Warrior,13,,1,36,,,36,2,12,,69,,Creature Codex,,Humanoid
"Ogre, Kadag",14,,7,133,,,133,-1,9,,300,,Tome of Beasts 3,,Giant
"Elf, Shadow Fey Executioner",16,,8,172,,,172,2,12,,169,,Tome of Beasts 3,,Humanoid
"Kobold, Ghost Hunter",18,,11,176,,,176,6,16,,254,,Tome of Beasts 3,,Humanoid
"Devil, Infernal Tutor",17,,13,182,,,182,3,13,,121,,Tome of Beasts 3,,Fiend
Crinaea,13,,2,44,,,44,3,13,,74,,Tome of Beasts 2,,Fey
Culicoid,18,,12,190,,,190,2,12,,94,,Tome of Beasts 2,,Fiend
Kelp Eel,17,,10,157,,,157,2,12,,227,,Tome of Beasts 2,,Plant
Fierstjerren,14,,5,105,,,105,2,12,,157,,Creature Codex,,Undead
Lord Of The Hunt,18,,18,229,,,229,4,14,Legendary,188,,Tome of Beasts,,Fey
Underworld Sentinel,17,,10,126,,,126,2,12,,381,,Tome of Beasts 3,,Undead
Hydra,15,,8,172,,,172,1,11,,190,,5e SRD,,Monstrosity
Light Cavalry,14,,1,39,,,39,1,11,,256,,Creature Codex,,Humanoid
"Devil, Moldering",13,,0.5,27,,,27,0,10,,123,,Tome of Beasts 3,,Fiend
Malphas (Storm Crow),16,,6,120,,,120,4,14,,283,,Tome of Beasts,,Fey
Lizard,10,,0,2,,,2,0,10,,332,,5e SRD,,Beast
Stone-Eater Slime,12,,4,90,,,90,0,10,,357,,Tome of Beasts 3,,Ooze
Magma Mephit,11,,0.5,22,,,22,1,11,,216,,5e SRD,,Elemental
Umbral Vampire,14,,7,84,,,84,4,14,,397,,Tome of Beasts,,Fiend
Kobold Broodguard,16,,2,44,,,44,2,12,,298,,A5e Monstrous Menagerie,,Humanoid
Marsh Dire,15,,8,142,,,142,1,11,,258,,,,Undead
Irid,13,,1,20,,,20,3,13,,217,,Tome of Beasts 2,,Celestial
Tormented Qiqirn,16,,10,133,,,133,4,14,,301,,Tome of Beasts 2,,Fiend
Scorchrunner Jackal,13,,1,38,,,38,3,13,,340,,Tome of Beasts 3,,Monstrosity
Desert Slime,8,,3,75,,,75,-2,8,,115,,Tome of Beasts 3,,Ooze
Xing Tian,16,,11,168,,,168,1,11,,376,,Tome of Beasts 2,,Giant
Edjet,14,,3,52,,,52,1,11,,0,,Creature Codex,,Humanoid
Adult Black Dragon Lich,19,,17,253,,,253,2,12,Legendary,96,,A5e Monstrous Menagerie,,Undead
Vellso,15,,7,120,,,120,2,12,,92,,Creature Codex,,Fiend
Wormhearted Suffragan,12,,5,97,,,97,2,12,,410,,Tome of Beasts,,Undead
Aalpamac,16,,7,136,,,136,0,10,,8,,Tome of Beasts 2,,Monstrosity
Sasori Fukurowashi,17,,9,123,,,123,4,14,,224,,Tome of Beasts 2,,Fey
Infernal Centaur,15,,4,60,,,60,1,11,,214,,Tome of Beasts 2,,Fiend
Savager,17,,8,115,,,115,2,12,,338,,Tome of Beasts,,Beast
Adult Silver Dragon,19,,16,243,,,243,0,10,Legendary,117,,5e SRD,,Dragon
Giant Ant Queen,15,,4,85,,,85,1,11,,23,,Tome of Beasts,,Beast
Cambium,19,,14,264,,,264,3,13,,51,,Tome of Beasts,,Fiend
Grimalkin,13,,0.5,22,,,22,3,13,,452,,A5e Monstrous Menagerie,,Monstrosity
Isonade,18,,14,222,,,222,2,12,,257,,Tome of Beasts,,Monstrosity
Oni,16,,7,110,,,110,0,10,,239,,5e SRD,,Giant
Centaur,13,,2,45,,,45,3,13,,44,,A5e Monstrous Menagerie,,Fey
Putrid Haunt,13,,2,44,,,44,-1,9,,315,,Tome of Beasts,,Undead
Carrier Mosquito,13,,3,75,,,75,1,11,,389,,Tome of Beasts 2,,Beast
Kobold Dragon Servitor,12,,1,7,,,7,2,12,,298,,A5e Monstrous Menagerie,,Humanoid
Kaveph,16,,6,136,,,136,1,11,,225,,Tome of Beasts 2,,Aberration
Roper,20,,5,93,,,93,-1,9,,261,,5e SRD,,Monstrosity
Giant Rat (Diseased),12,,0.125,7,,,7,2,12,,327,,5e SRD,,Beast
Giant Armadillo,12,,0.25,10,,,10,-1,9,,392,,Tome of Beasts 2,,Beast
Derendian Moth Abomination,14,,12,210,,,210,5,15,Legendary,96,,Tome of Beasts 2,,Monstrosity
Violet Fungus,5,,0.25,18,,,18,-5,5,,138,,5e SRD,,Plant
Major Malleable,13,,10,218,,,218,-1,9,,254,,Tome of Beasts 2,,Aberration
Scroll Mummy,12,,6,105,,,105,-1,9,,0,,Tome of Beasts 2,,Undead
Pit Fiend General,19,,20,600,,,600,3,13,,88,,A5e Monstrous Menagerie,,Fiend
Chort Devil,18,,12,187,,,187,5,15,,104,,Tome of Beasts,,Fiend
Bone Golem,16,,7,60,,,60,3,13,,201,,Creature Codex,,Construct
Nihilethic Zombie,9,,1,22,,,22,-2,8,,9,,Tome of Beasts,,Undead
Accursed Spirit Naga,16,,8,85,,,85,3,13,,343,,A5e Monstrous Menagerie,,Monstrosity
Painted Phantasm,15,,7,97,,,97,3,13,,312,,Tome of Beasts 3,,Construct
Grove Bear,13,,0.25,13,,,13,1,11,,178,,Tome of Beasts 2,,Beast
Conjoined Queen,18,,10,168,,,168,3,13,,70,,Tome of Beasts 2,,Monstrosity
Darakhul High Priestess,17,,9,112,,,112,2,12,,172,,Creature Codex,,Undead
Apaxrusl,13,,3,60,,,60,1,11,,27,,Tome of Beasts 2,,Construct
"Lycanthrope, Wereotter",13,,2,44,,,44,3,13,,266,,Tome of Beasts 3,,Humanoid
Purple Slime,7,,3,76,,,76,-1,9,,307,,Creature Codex,,Ooze
Efreeti,17,,11,200,,,200,1,11,,145,,5e SRD,,Elemental
Adult White Dragon,18,,13,200,,,200,0,10,Legendary,101,,5e SRD,,Dragon
Ink Guardian,8,,4,102,,,102,-2,8,,285,,Creature Codex,,Ooze
Kobold Spellclerk,12,,0.5,21,,,21,2,12,,232,,Tome of Beasts 2,,Humanoid
Bandit,12,,0.125,11,,,11,1,11,,343,,5e SRD,,Humanoid
Philosopher's Ghost,13,,4,77,,,77,3,13,,297,,Creature Codex,,Ooze
Horakh,17,,9,161,,,161,4,14,,250,,Tome of Beasts,,Monstrosity
Revilock,12,,2,39,,,39,2,12,,259,,A5e Monstrous Menagerie,,Humanoid
Young River Dragon,17,,9,142,,,142,3,13,,132,,A5e Monstrous Menagerie,,Dragon
"Zombie, Smokeplume",15,,3,68,,,68,-1,9,,400,,Tome of Beasts 3,,Undead
Cikavak,12,,0.125,17,,,17,2,12,,58,,Tome of Beasts,,Fey
Tosculi Elite Bow Raider,16,,5,97,,,97,4,14,,386,,Tome of Beasts,,Humanoid
Empusa,16,,5,102,,,102,1,11,,136,,Tome of Beasts 2,,Monstrosity
"Dragon, Sand Ancient",21,,23,507,,,507,1,11,Legendary,144,,Tome of Beasts 3,,Dragon
Adult Silver Dragon (+),19,,19,283,,,283,2,12,Legendary,178,,A5e Monstrous Menagerie,,Dragon
Crab,11,,0,2,,,2,0,10,,320,,5e SRD,,Beast
Corrupted Pixie,15,,0.5,5,,,5,5,15,,72,,Tome of Beasts 2,,Fiend
Ice Devil,18,,14,180,,,180,2,12,,75,,5e SRD,,Fiend
Great Wyrm Blue Dragon,22,,25,814,,,814,0,10,Legendary,106,,A5e Monstrous Menagerie,,Dragon
Young Sapphire Dragon,18,,10,161,,,161,4,14,,151,,A5e Monstrous Menagerie,,Dragon
Buraq,17,,11,152,,,152,4,14,,48,,Tome of Beasts,,Celestial
"Dwarf, Pike Guard",16,,0.5,30,,,30,-1,9,,166,,Tome of Beasts 3,,Humanoid
Owl Harpy,14,,5,112,,,112,3,13,,246,,Tome of Beasts,,Monstrosity
Redcap,15,,6,105,,,105,0,10,,325,,Tome of Beasts,,Fey
Subek,17,,5,76,,,76,0,10,,371,,Tome of Beasts,,Humanoid
Adult Blue Dragon,19,,16,225,,,225,0,10,Legendary,91,,5e SRD,,Dragon
Akaasit,15,,6,91,,,91,4,14,,11,,Tome of Beasts 2,,Construct
Void Constructor,19,,3,43,,,43,1,11,,385,,Tome of Beasts 3,,Construct
Pony,10,,0.125,11,,,11,0,10,,335,,5e SRD,,Beast
Stone Golem,17,,10,178,,,178,-1,9,,170,,5e SRD,,Construct
Doppelixir,13,,1,45,,,45,3,13,,139,,Tome of Beasts 3,,Ooze
Chernomoi,13,,1,32,,,32,4,14,,55,,Tome of Beasts,,Fey
"Rakshasa, Slayer",18,,9,142,,,142,5,15,,330,,Tome of Beasts 3,,Fiend
Mountain Dryad,17,,11,172,,,172,1,11,,261,,Tome of Beasts 2,,Fey
Derro Explorer,15,,2,44,,,44,3,13,,97,,Tome of Beasts 2,,Humanoid
Quipper,13,,0,1,,,1,3,13,,335,,5e SRD,,Beast
Clockwork Myrmidon,16,,6,153,,,153,2,12,,64,,Tome of Beasts,,Construct
Adult Gold Dragon (+),19,,20,324,,,324,2,12,Legendary,172,,A5e Monstrous Menagerie,,Dragon
Nkosi Pridelord,16,,4,93,,,93,4,14,,306,,Tome of Beasts,,Humanoid
Giant Wolf Spider,13,,0.25,11,,,11,3,13,,330,,5e SRD,,Beast
Arachnocrat,15,,5,93,,,93,3,13,,102,,Tome of Beasts 2,,Fiend
Coven Winter Hag,17,,9,135,,,135,3,13,,272,,A5e Monstrous Menagerie,,Fey
Infernal Knight,18,,16,247,,,247,2,12,,104,,Creature Codex,,Fiend
Black Knight Commander,18,,5,78,,,78,0,10,,418,,Tome of Beasts,,Humanoid
Yaojing,15,,15,202,,,202,5,15,,377,,Tome of Beasts 2,,Celestial
Bulbous Violet,12,,1,38,,,38,2,12,,53,,Tome of Beasts 2,,Plant
Lakescourge Lotus,15,,5,90,,,90,3,13,,258,,Tome of Beasts 3,,Undead
Hobgoblin,18,,0.5,11,,,11,1,11,,186,,5e SRD,,Humanoid
Blood Giant,15,,8,126,,,126,1,11,,180,,Creature Codex,,Giant
Birgemon Seal,12,,2,60,,,60,2,12,,57,,Tome of Beasts 3,,Aberration
Phase Giant,15,,5,136,,,136,0,10,,172,,Tome of Beasts 2,,Giant
Pit Fiend,19,,20,300,,,300,2,12,,77,,5e SRD,,Fiend
Shield Guardian,17,,7,142,,,142,-1,9,,271,,5e SRD,,Construct
Doom Creeper,15,,6,137,,,137,5,15,,138,,Tome of Beasts 3,,Plant
Stone Giant Stonetalker,17,,8,126,,,126,2,12,,241,,A5e Monstrous Menagerie,,Giant
Galidroo,17,,12,172,,,172,1,11,,161,,Tome of Beasts 2,,Monstrosity
Knight Captain,20,,14,171,,,171,1,11,,477,,A5e Monstrous Menagerie,,Humanoid
Mavka,17,,12,170,,,170,2,12,,286,,Tome of Beasts,,Undead
Arcane Blademaster,20,,19,256,,,256,1,11,,479,,A5e Monstrous Menagerie,,Humanoid
Haakjir,15,,3,52,,,52,3,13,,224,,Tome of Beasts 3,,Monstrosity
Owlbear Recluse,13,,3,119,,,119,1,11,,356,,A5e Monstrous Menagerie,,Monstrosity
Boreas’ Chosen,15,,7,102,,,102,2,12,,48,,Tome of Beasts 2,,Humanoid
Mountain Dwarf Defender,20,,3,52,,,52,1,11,,477,,A5e Monstrous Menagerie,,Humanoid
Sarcophagus Slime,11,,5,105,,,105,1,11,,336,,Tome of Beasts,,Undead
"Harpy, Plague",15,,6,142,,,142,2,12,,229,,Tome of Beasts 3,,Monstrosity
Ortifex,12,,4,78,,,78,0,10,,287,,Tome of Beasts 2,,Undead
City Watch Captain,17,,4,91,,,91,3,13,,419,,Tome of Beasts,,Humanoid
Young Blue Dragon,18,,9,152,,,152,0,10,,91,,5e SRD,,Dragon
Npc: Wind Acolyte,15,,5,105,,,105,5,15,,412,,Tome of Beasts 3,,Humanoid
